Arab World,1960,93485943
Caribbean small states,1960,4186973
Central Europe and the Baltics,1960,91401583
East Asia & Pacific (all income levels),1960,1043328733
East Asia & Pacific (developing only),1960,897346338
Euro area,1960,265229785
Europe & Central Asia (all income levels),1960,667164796
Europe & Central Asia (developing only),1960,155159848
European Union,1960,409331746
Fragile and conflict affected situations,1960,119979656
Heavily indebted poor countries (HIPC),1960,161797003
High income,1960,906805134
High income: nonOECD,1960,186097757
High income: OECD,1960,720707377
Latin America & Caribbean (all income levels),1960,219814343
Latin America & Caribbean (developing only),1960,177540612
Least developed countries: UN classification,1960,241165206
Low & middle income,1960,2129722244
Low income,1960,156290672
Lower middle income,1960,946051256
Middle East & North Africa (all income levels),1960,106552352
Middle East & North Africa (developing only),1960,98926516
Middle income,1960,1973431572
North America,1960,198624409
OECD members,1960,786937631
Other small states,1960,6620849
Pacific island small states,1960,853114
Small states,1960,11660936
South Asia,1960,573201723
Sub-Saharan Africa (all income levels),1960,227841022
Sub-Saharan Africa (developing only),1960,227547207
Upper middle income,1960,1027380316
World,1960,3036527378
Afghanistan,1960,8774440
Albania,1960,1608800
Algeria,1960,11277757
American Samoa,1960,20012
Andorra,1960,13414
Angola,1960,4965988
Antigua and Barbuda,1960,54681
Argentina,1960,20623998
Armenia,1960,1867396
Aruba,1960,54208
Australia,1960,10276477
Austria,1960,7047539
Azerbaijan,1960,3897889
Bahamas  The,1960,109526
Bahrain,1960,162501
Bangladesh,1960,49537147
Barbados,1960,230858
Belarus,1960,8198000
Belgium,1960,9153489
Belize,1960,92068
Benin,1960,2431620
Bermuda,1960,44400
Bhutan,1960,224155
Bolivia,1960,3353125
Bosnia and Herzegovina,1960,3305501
Botswana,1960,524173
Brazil,1960,72775883
Brunei Darussalam,1960,81817
Bulgaria,1960,7867374
Burkina Faso,1960,4829291
Burundi,1960,2786740
Cabo Verde,1960,212247
Cambodia,1960,5720019
Cameroon,1960,5361367
Canada,1960,17909009
Cayman Islands,1960,7867
Central African Republic,1960,1503501
Chad,1960,3002596
Channel Islands,1960,109419
Chile,1960,7649026
China,1960,667070000
Colombia,1960,16006395
Comoros,1960,190475
Congo  Dem. Rep.,1960,15248246
Congo  Rep.,1960,1013581
Costa Rica,1960,1334044
Cote d'Ivoire,1960,3474724
Croatia,1960,4140000
Cuba,1960,7141130
Curacao,1960,124826
Cyprus,1960,572929
Czech Republic,1960,9602006
Denmark,1960,4579603
Djibouti,1960,83636
Dominica,1960,60016
Dominican Republic,1960,3311788
Ecuador,1960,4514593
Egypt  Arab Rep.,1960,27997745
El Salvador,1960,2772970
Equatorial Guinea,1960,252115
Eritrea,1960,1404810
Estonia,1960,1211537
Ethiopia,1960,22151218
Faeroe Islands,1960,34266
Fiji,1960,393383
Finland,1960,4429634
France,1960,46647521
French Polynesia,1960,78083
Gabon,1960,498823
Gambia  The,1960,367929
Georgia,1960,3645600
Germany,1960,72814900
Ghana,1960,6652516
Greece,1960,8331725
Greenland,1960,32500
Grenada,1960,89861
Guam,1960,66741
Guatemala,1960,4140636
Guinea,1960,3576684
Guinea-Bissau,1960,635956
Guyana,1960,560296
Haiti,1960,3869288
Honduras,1960,2002333
Hong Kong SAR  China,1960,3075605
Hungary,1960,9983967
Iceland,1960,175574
India,1960,449595489
Indonesia,1960,88692697
Iran  Islamic Rep.,1960,21958460
Iraq,1960,7289759
Ireland,1960,2828600
Isle of Man,1960,48441
Israel,1960,2114020
Italy,1960,50199700
Jamaica,1960,1629003
Japan,1960,92500572
Jordan,1960,844000
Kazakhstan,1960,9714260
Kenya,1960,8105440
Kiribati,1960,32970
Korea  Dem. Rep.,1960,11424179
Korea  Rep.,1960,25012374
Kosovo,1960,947000
Kuwait,1960,261994
Kyrgyz Republic,1960,2172300
Lao PDR,1960,2119731
Latvia,1960,2120979
Lebanon,1960,1804927
Lesotho,1960,851412
